state,gdp_1819_rs_mln
Jammu & Kashmir?*,1598590
Andaman & Nicobar Islands?*,90030
Mizoram?*,219120
Nagaland?*,265270
Manipur?*,273880
Arunachal Pradesh?*,253350
Sikkim?*,284020
Meghalaya?*,321760
Puducherry?*,341700
Chandigarh?*,401390
Tripura?*,498230
Goa?*,718530
Himachal Pradesh?*,1483830
Uttarakhand?*,2303140
Jharkhand?*,3056950
Chhattisgarh?*,3271070
Assam?*,3093360
Punjab?*,5215100
Odisha?*,4986110
Bihar?*,5279760
Haryana?*,6989400
NCT OF Delhi?*,7383890
Kerala?*,7882860
Andhra Pradesh?*,8737210
Madhya Pradesh?*,8298050
Telangana?*,8574270
Rajasthan?*,9115190
West Bengal?*,11020540
Karnataka?*,14793910
Gujarat?*,14921560
Uttar Pradesh?*,15821800
Tamil Nadu?*,16302090
Maharashtra?*,25288540
